Name,Text
JAKE,This job is eating me alive. I can't breathe anymore.
JAKE,"I spent all these years trying to be the good guy, the man in the white hat. I'm not becoming like them... I am them."
AMY,"What are you doing, weirdo?"
JAKE,"I'm doing the best speech from ""Donnie Brasco."" Actually-- --ten of me are doing the best speech from Donnie Brasco. Sup?"
AMY,"Get it together, man. All ten of you."
AMY,Store was hit about two hours ago. Perps disabled the alarm
JAKE,Sorry! My bad.
AMY,"I'd like a list of your employees, anyone who had access to the store. I'd also like to apologize for my partner. His parents didn't give him enough attention."
JAKE,DO YOU BELIEVE IN LIFE AFTER LOVE? --
AMY,"Dude, seriously?"
JAKE,"I know, not my first choice either, but it's stuck. Got any other songs, Ahmed?"
AHMED,"No, is broken. You want it? One-fifty for you. Works perfect."
JAKE,"You literally just said it was broken. (singing) I THINK THIS ROBB-RY WAS A SMASH AND GRAB I REALLY BELIEVE IT WAS A SMASH AND GRAB, OH!!!"
AMY,"Really, Cher? I think it was an inside job. Prove me wrong."
JAKE,"A challenge? Is this a challenge? I love challenges! The door and the register were both forced, and they tripped a motion sensor -- i.e., not an inside job."
AMY,Or it's an inside job meant to look like a smash and grab.
JAKE,"Sorry. We're looking for three white males, one of whom has tatt sleeves on both arms."
AMY,"And how do you know that, dare I ask?"
JAKE,"I had a confidential informant on the inside. He spent years right here, in this sale bin, watching, learning, waiting. His code name is... (holds up teddy bear) Fuzzy Cuddle Bear! And he's a nanny cam."
AMY,Ugh. You got lucky.
JAKE,"You know what they say: Luck is 95% talent, 5% being awesome."
AMY,No one's ever said that.
JAKE,"(to the bear) Whelp... we did it, Fuzzy. We got 'em. You can come home now. (as the bear) ""I don't know if I can. I've been undercover so long, I don't even know who I am anymore. I've done terrible things."""
AMY,All right.
JAKE,"(as Fuzzy, crying) ""I strangled a Mr. Potato Head with my bare hands. Oh God, what have I become?!"""
TERRY,All right. Let's get started.
TERRY,"Quiet, please. Come on, guys, I don't want to have to raise my voice. Rosa?"
ROSA,Shut up! Everyone shuts up.
TERRY,"Thank you, Rosa. First off, Gina has some administrative announcements."
GINA,"Thank you. Thank you. No need to applaud. First of all, starting today there's a new claim form for ""lost equipment."" Sadly, I have misplaced it."
GINA,"But seriously, I do not know where I put those forms. If you see them, let me know. Also, my dance troupe, ""Floor-gasm,"" is performing at the Atlantic Antic on Sunday. Please come watch me dance, unless you are an old pervert."
TERRY,"Thank you, Gina. Open cases -- you closed the electronics store robbery from last week?"
JAKE,"Patrol picked up all three mopes yesterday, Sarge. Would you like to do the honor?"
AMY,I hate this. I hate this. Enjoy it while it lasts.
JAKE,I will!
TERRY,"JP, update on the Morgenthau murder?"
JAKE,"Early this morning, someone decided to shoot and kill luxury food importer Harry Morgenthau. Body was discovered by his cleaning lady. During her interview, using expert detective work, I deduced that she had something super gross on her chin. I took a picture of it, as evidence."
CHARLES,I think it was flan.
JAKE,Charles thinks it was flan. I think it was butterscotch pudding.
